Quantity,Name,Price,Color,Card Type,CMC,Edition (CODE),Mana Value,Scryfall ID
9x,Shady Traveler // Stalking Predator,$0.11,Black,Creature — Human Werewolf,3,(MID),{2}{B},b1463082-62bb-4aa6-8763-b865ef1fdb68
7x,Mountain,$0.25,Land,Basic Land — Mountain,0,(MID),,f92e9e94-e5e9-4b2c-b9e5-35de42ca7b8e
7x,Outland Liberator // Frenzied Trapbreaker,$0.30,Green,Creature — Human Werewolf,2,(MID),{1}{G},f86b7c7e-825a-4634-8a85-3b56f112188c
7x,Plains,$0.25,Land,Basic Land — Plains,0,(MKM),,ec05cb6c-6e7f-4d40-ba38-a9fc06158094
7x,Swamp,$0.25,Land,Basic Land — Swamp,0,(MKM),,b1cbccfc-3585-4895-94d1-c3a67205e5fe
7x,Dawnhart Mentor,$0.15,Green,Creature — Human Warlock,3,(MID),{2}{G},ac558d9d-5c7d-4671-ae0b-94c099e1b111
7x,Swamp,$0.55,Land,Basic Land — Swamp,0,(LTR),,9b5f68bc-1842-4efd-b85a-d897cfd63bde
7x,Plains,$0.15,Land,Basic Land — Plains,0,(AFR),,879f7f54-25a3-440b-848d-0e780277a681
7x,Bird Admirer // Wing Shredder,$0.12,Green,Creature — Human Archer Werewolf,3,(MID),{2}{G},71ccc444-54c8-4f7c-a425-82bc3eea1eb0
7x,Baneblade Scoundrel // Baneclaw Marauder,$0.17,Black,Creature — Human Rogue Werewolf,4,(MID),{3}{B},5b13fbff-8b72-459a-ac72-3429be6e192d
7x,Mountain,$0.40,Land,Basic Land — Mountain,0,(MKM),,5383b66e-e559-47d2-9967-9c2d5f898653
7x,Candlegrove Witch,$0.11,White,Creature — Human Warlock,2,(MID),{1}{W},482c0eab-326b-41db-9be6-f98d15bbd0af
7x,Fangblade Brigand // Fangblade Eviscerator,$0.15,Red,Creature — Human Werewolf,4,(MID),{3}{R},35e17f53-021b-484b-9ede-524742fe8aae
7x,Swamp,$0.15,Land,Basic Land — Swamp,0,(MID),,2f4b9030-f04a-4f42-8dd8-2eae0ce7e420
6x,Dunland Crebain,$0.15,Black,Creature — Bird Horror,3,(LTR),{2}{B},f1b90963-2a4c-4e0a-9d00-5d3df258c880
6x,Forest,$0.25,Land,Basic Land — Forest,0,(MID),,ec8de02c-7954-4424-8b95-a21d8e104bd4
6x,Swamp,$0.17,Land,Basic Land — Swamp,0,(AFR),,ea640731-b367-4ece-934e-6d86634fc1c8
6x,Island,$0.25,Land,Basic Land — Island,0,(MKM),,df18762d-9980-4344-9d4f-e9d2cd8e0456
6x,Island,$0.15,Land,Basic Land — Island,0,(WOE),,1a9798d6-34b3-4438-992d-d3616a7c8536
5x,Ardent Elementalist,$0.20,Red,Creature — Human Shaman,4,(MID),{3}{R},f58592f7-1df5-428d-9dde-e6acd9a5d1d5
5x,Swamp,$0.77,Land,Basic Land — Swamp,0,(WOE),,ee68f2cb-851b-4196-ac58-844d72628e6a
5x,Mountain,$0.20,Land,Basic Land — Mountain,0,(AFR),,edabc558-2c54-4c7b-a6fa-1e75ddcf12f9
5x,Crawl from the Cellar,$0.18,Black,Sorcery,1,(MID),{B},ed6c8942-d43e-4456-ac98-3220cb954c65
5x,Voracious Fell Beast,$0.20,Black,Creature — Drake Beast,6,(LTR),{4}{B}{B},d6ce6be0-ebfe-4d50-87c6-8c1fc7536f1f
5x,Lunarch Veteran // Luminous Phantom,$0.50,White,Creature — Human Cleric,1,(MID),{W},d2704743-2e23-40b9-a367-c73d2db45afc
5x,Ecstatic Awakener // Awoken Demon,$0.15,Black,Creature — Human Wizard,1,(MID),{B},bbdad18e-e262-41f9-b252-1cbdcdd1b5f9
5x,Larder Zombie,$0.15,Blue,Creature — Zombie,1,(MID),{U},a7c0dcac-f3d4-4d6e-9c6e-9295bb1cd47f
5x,Arborea Pegasus,$0.15,White,Creature — Pegasus,4,(AFR),{3}{W},6bf942df-d30b-4d1b-8a46-bca4abaeb147
5x,Hobbling Zombie,$0.15,Black,Creature — Zombie,3,(MID),{2}{B},68284193-a38e-40d2-8d15-92d223756751
5x,Morbid Opportunist,$1.69,Black,Creature — Human Rogue,3,(MID),{2}{B},5a53982e-3d66-4808-bcb5-46ff40567872
5x,Bat Whisperer,$0.15,Black,Creature — Vampire,4,(MID),{3}{B},4412c901-0ec8-437a-9d1e-ce318bbe2b03
5x,Morkrut Behemoth,$0.15,Black,Creature — Zombie Giant,5,(MID),{4}{B},318fe8a2-a68a-4c7e-9581-ae6800826164
5x,Island,$0.15,Land,Basic Land — Island,0,(AFR),,29d575fc-037b-421a-a205-12d492e9361e
4x,Peregrin Took,$0.20,Green,Legendary Creature — Halfling Citizen,3,(LTR),{2}{G},fbbdd288-83ec-4be9-b55f-17771fd5ecc4
4x,Oliphaunt,$0.20,Red,Creature — Elephant,6,(LTR),{5}{R},fa65958a-f601-472e-a9b6-42650b97fa44
4x,Neverwinter Dryad,$0.18,Green,Creature — Dryad,1,(AFR),{G},e64d7cc7-bbdd-4db3-906e-a2f7672e0f67
4x,Baleful Beholder,$0.15,Black,Creature — Beholder,6,(AFR),{4}{B}{B},e52d6ef6-d8a3-4288-8917-4c0a179ed4e0
4x,Evolving Wilds,$0.20,Land,Land,0,(LTC),,e24ec4c1-5a28-450d-8e37-62a154749ee6
4x,Arcane Investigator,$0.15,Blue,Creature — Elf Wizard,2,(AFR),{1}{U},dc457520-9947-4f65-bbe7-9b95bd2c23af
4x,Marketwatch Phantom,$0.25,White,Creature — Spirit Detective,2,(MKM),{1}{W},daf6a392-3fc4-45d1-b85d-3b1381b3ab7d
4x,Goblin Javelineer,$0.16,Red,Creature — Goblin Warrior,1,(AFR),{R},d32b3f1b-40cb-413d-adb9-0809e4a2abdd
4x,Spellrune Painter // Spellrune Howler,$0.20,Red,Creature — Human Shaman Werewolf,3,(MID),{2}{R},d2a5b43d-e21b-4294-9ea2-5bd0264e71d3
4x,Hungry for More,$0.20,Black/Red,Sorcery,2,(MID),{B}{R},ce09c0df-d022-4ebf-8f7f-8a913249e75f
4x,Mountain,$0.39,Land,Basic Land — Mountain,0,(MKM),,cd8a0cd6-8d3b-44bd-b609-c12fb851d17b
4x,Unnatural Moonrise,$0.25,Red/Green,Sorcery,2,(MID),{R}{G},bfdd9df1-6a3b-4f03-8eca-00ed22c02566
4x,Necrosynthesis,$0.25,Black,Enchantment — Aura,2,(MID),{1}{B},b75b89f1-e032-4d8c-b2b6-1b76e8644801
4x,Bag End Porter,$0.10,Green,Creature — Dwarf,4,(LTR),{3}{G},b7557170-39a2-49df-823e-958c3eb34801
4x,Swamp,$0.35,Land,Basic Land — Swamp,0,(MKM),,b1cbccfc-3585-4895-94d1-c3a67205e5fe
4x,Djinni Windseer,$0.15,Blue,Creature — Djinn,4,(AFR),{3}{U},ab7cd8c3-8365-4e40-a089-02bc9b93581a
4x,Out Cold,$0.25,Blue,Instant,4,(MKM),{3}{U},aabfada0-3c1b-4237-b06c-573071ccd68d
4x,Forest,$0.15,Land,Basic Land — Forest,0,(AFR),,aab1cc13-8959-4914-afe8-58daf9529f61
4x,Village Watch // Village Reavers,$0.20,Red,Creature — Human Werewolf,5,(MID),{4}{R},a622635e-482d-4621-8874-3945af74e9ca
4x,Candlelit Cavalry,$0.12,Green,Creature — Human Knight,5,(MID),{4}{G},a4c3bd60-1ff6-4136-9188-d0620fd299a7
4x,Rotten Reunion,$0.20,Black,Instant,1,(MID),{B},97398ad2-675b-4a34-aab7-935dd6714f1c
4x,Meriadoc Brandybuck,$0.15,Green,Legendary Creature — Halfling Citizen,2,(LTR),{1}{G},885a3277-ef10-4dcf-ac63-eb8971cd627c
4x,Protector of Gondor,$0.10,White,Creature — Human Soldier,4,(LTR),{3}{W},85708748-40ca-4066-a287-7a6a189ff3df
4x,Hound Tamer // Untamed Pup,$0.19,Green,Creature — Human Werewolf,3,(MID),{2}{G},83218607-240e-4473-8b0b-6b4670b010e6
4x,Forest,$0.34,Land,Basic Land — Forest,0,(MKM),,8126b842-ea58-4988-8b3f-0394cf766b91
4x,Pack's Betrayal,$0.15,Red,Sorcery,3,(MID),{2}{R},7ebadb1e-32cd-41d6-b26e-49134973d05c
4x,Many Partings,$0.15,Green,Sorcery,1,(LTR),{G},7769f0ce-b31b-4cb5-8635-2b9b70114180
4x,Play with Fire,$3.66,Red,Instant,1,(MID),{R},6f1a6c60-a8c4-44c2-b1ea-d3befbabdf43
4x,Forest,$0.35,Land,Basic Land — Forest,0,(MKM),,6cb8f264-cc26-476e-a3b7-53638dce7395
4x,Gearbane Orangutan,$0.25,Red,Creature — Ape,3,(MKM),{2}{R},6900a344-a155-4ee1-a3ac-d6c28e024270
4x,Wose Pathfinder,$0.11,Green,Creature — Human Shaman,2,(LTR),{1}{G},6589b339-9067-4e9b-bfdb-c49f8b3ef2d4
4x,Island,$0.13,Land,Basic Land — Island,0,(MID),,60e6b919-e7c0-4844-a65c-d8b83b3e5287
4x,Blood Pact,$0.20,Black,Instant,3,(MID),{2}{B},607b1066-1ca0-45e1-a55c-30aed77cc8dc
4x,Rosie Cotton of South Lane,$0.24,White,Legendary Creature — Halfling Peasant,3,(LTR),{2}{W},5a56cbc2-6fc2-4443-90fe-59acd526f562
4x,Arrogant Outlaw,$0.15,Black,Creature — Vampire Noble,3,(MID),{2}{B},496a9d45-6197-44b6-b0fc-17aeae281b2f
4x,Plains,$0.15,Land,Basic Land — Plains,0,(WOE),,486fbcf9-3a04-47f6-8927-886c2a454499
4x,Green Dragon,$0.20,Green,Creature — Dragon,6,(AFR),{4}{G}{G},45804134-cc04-4587-9674-2c884964083d
4x,Swamp,$0.25,Land,Basic Land — Swamp,0,(MID),,2f4b9030-f04a-4f42-8dd8-2eae0ce7e420
4x,Gavony Silversmith,$0.12,White,Creature — Human Soldier,4,(MID),{3}{W},2c53b007-96aa-4db6-8c3e-529d1e845b19
4x,Gnoll Hunter,$0.15,Green,Creature — Gnoll,2,(AFR),{1}{G},1d0634cb-e973-4f05-965e-d39b09fe57a9
4x,Owlbear,$0.18,Green,Creature — Bird Bear,5,(AFR),{3}{G}{G},12b19309-a7f6-44da-b856-d12da11156e8
3x,Meriadoc Brandybuck,$0.25,Green,Legendary Creature — Halfling Citizen,2,(LTR),{1}{G},ff7cea33-4d46-450a-a54e-b8d70910eee8
3x,Famished Foragers,$0.15,Red,Creature — Vampire,4,(MID),{3}{R},fdbe6937-ceda-4367-a101-562fd5e0e09d
